yatayatNames,licensePlateNumbers
Aarubari-NAC Bus Stop,101
Anantalingeshwar-Ratnapark,102
Balaju Chowk-Kamalbinayak,103
Balkumari-Gopikrishna,104
Chardobato - Teaching,105
Budhanilkantha - Lagankhel,106
"Budhanilkantha, Narayanthan- NAC Bus Stop",107
Changunarayan Bus Park-Purano Buspark,108
Changunarayan Bus Park-Ratnapark,109
Chyamasingh-Kalanki,110
Chyamasingh-Ratnapark,111
Dakshinkali-Purano Buspark,112
"Dudhpati, Bhaktapur-Lagankhel",113
"Dudhpati, Bhaktapur-Ratnapark",114
Ekantakuna Chowk-NAC Bus Stop,115
Godawari-Lagankhel,116
"Bhagwatithan,Gokarna-Kalanki",117
Gongabu Chowk-Lagankhel,118
Gongabu Chowk-NAC Bus Stop,119
Gopi Krishna Hall-Balkumari,120
Jorpati-Sankhamul,121
Kalanki-Chyamasingh,122
"Kalanki-Bhagwatithan, Gokarna",123
Kalanki-Ratnapark,124
Kalanki-Thali Chowk,125
Kamalbinayak-Balaju Chowk,126
Kamalbinayak-Ratnapark,127
Kapan Banglamukhi-Teku,128
Koteshwor-Swayambhu,129
Kritipur-Purano Buspark,130
Satdobato-Lagankhel,131
"Lagankhel-Budhanilkantha, Narayanthan",132
"Lagankhel-Dudhpati, Bhaktapur",133
Lagankhel-Godawari,134
Lagankhel-Gongabu Chowk,135
Lagankhel-Satdobato,136
Lagankhel-Lubhu,137
Lagankhel-NAC Bus Stop,138
Lubhu-Lagankhel,139
Mulpani Pipalbot-Purano Buspark,140
"Baba Chowk, Mulpani-Tripureshwor",141
"NEC, Changunarayan-Purano Buspark",142
"NMC Hospital, Attarkhel-NAC Bus Stop",143
Naya Buspark-Purano Buspark,144
Gothatar-NAC Bus Stop,145
Purano Buspark-Dakshinkali,146
Purano Buspark-Changunarayan Bus Park,147
Purano Buspark-Kritipur,148
Purano Buspark-Mulpani Pipalbot,149
"Purano Buspark-NEC, Changunarayan",150
Purano Buspark-Naya Buspark,151
Purano Buspark-Sakhu Buspark,152
Purano Buspark-Thankot,153
NAC Bus Stop-Aarubari,154
"NAC Bus Stop-Budhanilkantha, Narayanthan",155
NAC Bus Stop-Ekantakuna Chowk,156
NAC Bus Stop-Gongabu Chowk,157
"NAC Bus Stop-NMC Hospital, Attarkhel",158
NAC Bus Stop-Gothatar,160
NAC Bus Stop-Swayambhu,161
NAC Bus Stop-Tinchuli,162
Ratnapark-Anantalingeshwar,163
Ratnapark-Changunarayan Bus Park,164
Purano Buspark-Chyamasingh,165
"Ratnapark-Dudhpati, Bhaktapur",166
Ratnapark-Ravi Bhawan,167
Ratnapark-Kamalbinayak,168
Ratnapark-Saraswatikhel,169
"Kalanki-Sita Petrol Pump, Kalanki",170
"Sita Petrol Pump, Kalanki-Kalanki",171
Sankhamul-Jorpati,172
Sakhu Buspark-Purano Buspark,173
Saraswatikhel-Ratnapark,174
Sundarijal Buspark-Purano Buspark,175
Swayambhu-Koteshwor,176
Swayambhu-NAC Bus Stop,177
"Teaching Hospital-Chardobaato, Bode",178
Teku-Kapan Banglaukhi,179
Thali Chowk-Kalanki,180
Thankot-Purano Buspark,181
Tinchuli-NAC Bus Stop,182
"Tripureshwor-Baba Chowk, Mulpani",183
